,Unnamed: 0,task,gt_path,obj_id
198,198,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_92.nii.gz,1
199,199,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_92.nii.gz,2
200,200,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_60.nii.gz,1
201,201,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_60.nii.gz,2
202,202,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_34.nii.gz,1
203,203,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_70.nii.gz,1
204,204,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_70.nii.gz,2
205,205,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_125.nii.gz,1
206,206,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_125.nii.gz,2
207,207,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_88.nii.gz,1
208,208,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_88.nii.gz,2
209,209,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_76.nii.gz,1
210,210,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_76.nii.gz,2
211,211,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_30.nii.gz,1
212,212,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_30.nii.gz,2
213,213,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_96.nii.gz,1
214,214,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_96.nii.gz,2
215,215,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_22.nii.gz,1
216,216,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_22.nii.gz,2
217,217,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_51.nii.gz,1
218,218,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_51.nii.gz,2
219,219,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_103.nii.gz,1
220,220,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_103.nii.gz,2
221,221,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_116.nii.gz,1
222,222,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_116.nii.gz,2
223,223,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_127.nii.gz,1
224,224,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_127.nii.gz,2
225,225,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_105.nii.gz,1
226,226,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_9.nii.gz,1
227,227,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_9.nii.gz,2
228,228,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_95.nii.gz,1
229,229,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_95.nii.gz,2
230,230,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_50.nii.gz,1
231,231,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_50.nii.gz,2
232,232,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_72.nii.gz,1
233,233,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_72.nii.gz,2
234,234,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_32.nii.gz,1
235,235,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_39.nii.gz,1
236,236,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_39.nii.gz,2
237,237,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_25.nii.gz,1
238,238,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_25.nii.gz,2
239,239,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_78.nii.gz,1
240,240,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_78.nii.gz,2
241,241,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_71.nii.gz,1
242,242,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_71.nii.gz,2
243,243,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_61.nii.gz,1
244,244,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_61.nii.gz,2
245,245,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_83.nii.gz,1
246,246,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_83.nii.gz,2
247,247,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_90.nii.gz,1
248,248,Task03_Liver,/data/datasets/MSD/Task03_Liver/labelsTs/liver_90.nii.gz,2
