,task,gt_path,obj_id
0,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_217.nii.gz,1
1,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_217.nii.gz,2
2,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_442.nii.gz,1
3,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_442.nii.gz,2
4,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_116.nii.gz,1
5,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_116.nii.gz,2
6,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_238.nii.gz,1
7,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_238.nii.gz,2
8,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_458.nii.gz,1
9,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_458.nii.gz,2
10,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_396.nii.gz,1
11,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_396.nii.gz,2
12,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_318.nii.gz,1
13,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_318.nii.gz,2
14,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_023.nii.gz,1
15,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_023.nii.gz,2
16,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_235.nii.gz,1
17,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_235.nii.gz,2
18,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_008.nii.gz,1
19,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_008.nii.gz,2
20,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_061.nii.gz,1
21,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_061.nii.gz,2
22,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_189.nii.gz,1
23,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_189.nii.gz,2
24,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_244.nii.gz,1
25,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_244.nii.gz,2
26,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_378.nii.gz,1
27,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_378.nii.gz,2
28,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_270.nii.gz,1
29,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_270.nii.gz,2
30,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_429.nii.gz,1
31,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_429.nii.gz,2
32,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_224.nii.gz,1
33,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_224.nii.gz,2
34,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_236.nii.gz,1
35,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_236.nii.gz,2
36,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_383.nii.gz,1
37,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_383.nii.gz,2
38,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_072.nii.gz,1
39,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_072.nii.gz,2
40,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_412.nii.gz,1
41,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_412.nii.gz,2
42,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_416.nii.gz,1
43,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_416.nii.gz,2
44,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_336.nii.gz,1
45,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_336.nii.gz,2
46,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_087.nii.gz,1
47,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_087.nii.gz,2
48,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_140.nii.gz,1
49,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_140.nii.gz,2
50,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_090.nii.gz,1
51,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_090.nii.gz,2
52,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_246.nii.gz,1
53,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_246.nii.gz,2
54,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_112.nii.gz,1
55,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_112.nii.gz,2
56,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_026.nii.gz,1
57,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_026.nii.gz,2
58,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_255.nii.gz,1
59,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_255.nii.gz,2
60,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_437.nii.gz,1
61,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_437.nii.gz,2
62,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_004.nii.gz,1
63,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_004.nii.gz,2
64,Task08_HepaticVessel,/data/datasets/MSD/Task08_HepaticVessel/labelsTs/hepaticvessel_046.nii.gz,1
